Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
RaceFi - Unknown,Unknown,2021-12-04T00:00:00.000Z,"ExNetwork Capital/Genblock Capital/Solar Eco Fund/Shima Capital/Basics Capital/X21 Digital/SolRazr/Enjinstarter/Magnus Capital/Titans Ventures/VBC Ventures/Master
  Ventures/Good Games Guild/PolRare/R-930 Capital/ZBS Capital/Asteroid Ventures/Alpha Moon Capital/Avstar Capital/IDOResearch Ventures/KiwiGROUP/KV Ventures",2900000,none,The first AI/ML car racing game on Solana ,John Lee,https://racefi.io/,RaceFi,NFTs,Gaming/AI/Metaverse,https://racefi.medium.com/racefi-raises-2-9m-to-bring-a-play-to-earn-racing-experience-to-solana-73c6d0c543e2,none
Popop World - Unknown,Unknown,2021-11-30T00:00:00.000Z,"Modern Capital/Qiming Venture Partners/Tencent/Azdag/Crypto Pokers/Blue Planet Capital/Crypto Viet Labs/LVT Capital/Avalon Wealth Club/Coincu Ventures/Lotus Capital/Shima Capital/Maven Capital/CRT Capital/Momentum
  6/Andromeda Capital/AU21 Capital/Moonrock Capital/Moonwhale
  Ventures",5750000,none,A blockchain based leisure game wonderland,Nam Tran/Henry Bach,https://www.popop.world/,Popop World,NFTs,Gaming,https://twitter.com/popop_world/status/1465677008562655244,none
Platypus - Seed,Seed,2021-12-02T00:00:00.000Z,AVA Labs/0x Ventures/Avalaunch/AVATAR/AVentures DAO/CMS Holdings/BENQI/COLONY/Genesis Block HK/Hailstone Ventures/Keychain Capital/Mechanism Capital/Muhabbit Capital/TPS Capital/Valhalla Capital/Yield Yak/Three Arrows Capital,3300000,none,"Redefining stableswap with novel single-sided liquidity provision, on Avalanche",none,https://platypus.finance/,Platypus,DeFi,Liquidity,https://twitter.com/Platypusdefi/status/1466396487449939972,none
Integritee - Series A,Series A,2021-11-29T00:00:00.000Z,none,4500000,none,A scalable public blockchain solution for securely processing sensitive business or personal data,Alain Brenzikofer/Waldemar Scherer,https://integritee.network/,Integritee,Infrastructure,Data/Security,none,none
NuLink - Seed,Seed,2021-11-29T00:00:00.000Z,"BMW Capital/Chainlayer/Chateau Crypto/Coincu Ventures/Cypher Ventures/ExNetwork Capital/Glock Capital/Halvings Capital/Kangaroo Capital/LD Capital/MacLane Wilkison/Maven Capital/OIG Investment Group/R8 Capital/R-930 Capital/Regain Ventures/Stacker Ventures/Tokenova/Unanimous Capital/VYSYN Capital /X21 Digital/ZBS Capital/Insignius
  Capital/Bluechips/CSP DAO/Moonwhale
  Ventures/NewTribe Capital",4000000,none,Provides privacy-preserving technology for decentralized applications via APIs. ,Daniel Nilsson/Jiao David/Noel Braganza,https://www.nulink.org/,NuLink,Infrastructure,APIs/Privacy/Security,https://cointelegraph.com/press-releases/nulink-raises-4m-to-develop-privacy-preserving-technology,none
PlayTreks - Pre-Seed,Pre-Seed,2021-11-30T00:00:00.000Z,none,471000,none,"An all-in-one app for music professionals. Unlimited data, music distribution, radio airplay monitoring, blockchain marketplace, copyright, and NFTs.",Anjo De Heus/Robbert Vroegindeweij,https://playtreks.com/,PlayTreks,NFTs,Music/Minting/Marketplace,none,none
Algofi - Seed,Seed,2021-12-01T00:00:00.000Z,Union Square Ventures/Arrington XRP Capital/Pillar VC/Y Combinator/Formulate Ventures/Shine Capital,2800000,none,"Fast, low-cost lending market on the Algorand blockchain", John Clarke/Owen Colegrove,https://www.algofi.org/,Algofi,DeFi,Lending/Borrowing/Yield,https://www.finsmes.com/2021/12/algofi-raises-2-8m-in-seed-funding.html,none
MetaVisa - Seed,Seed,2021-12-01T00:00:00.000Z,"Spark
  Digital Capital/Sora Ventures/Amplio Capital/HG Ventures/GTA Ventures/Seedventure/Dutch
  Crypto Investors/Maven Capital/Black Mamba Ventures/Tensor Investment Corporation/CollinStar",5000000,none,"A layer 3 middleware protocol, aims to be the decentralized identity and credit system in Metaverse.",Scotty Hendricks/Jason Citron,https://metavisa.com/,MetaVisa,Web3,Layer 3/Metaverse,https://cointelegraph.com/press-releases/metavisa-announces-5-million-raise-in-seed-and-private-rounds,none
Coadjute - Pre-Series A,Pre-Series A,2021-12-01T00:00:00.000Z,Praetura Ventures/Collab+Currency/LegalTech Fund,7900000,none,Digitally connecting the UK property market,John Reynolds/Sanj Bulsara/Mark Adams,https://www.coadjute.com/,Coadjute,CeFi,Tokenization/Real estate,https://www.ledgerinsights.com/real-estate-blockchain-platform-coadjute-raises-8-million/,none
Payourse - Pre-Seed,Pre-Seed,2021-12-01T00:00:00.000Z,Flori Ventures/Voltron Capital/Michael Ugwu/Allegory Capital/Marek Olszewski/Rene Reinsberg/Kola Aina/Angel Touch Holdings/Oluwatobi Anisere,600000,none,Makes crypto more accessible to Africans by providing tools that helps businesses to build user-friendly crypto products,John Anisere/Bashir Aminu,https://payourse.com/,Payourse,Infrastructure,Tooling,https://techcabal.com/2021/12/01/payourse-secures-600k-pre-seed/,none
TeraWulf - Debt Financing,Debt Financing,2021-12-02T00:00:00.000Z,none,200000000,none,"A new paradigm for crypto mining in the future, producing domestic bitcoin using over 90% zero-carbon energy",Paul Prager,https://www.terawulf.com/,TeraWulf,Infrastructure,Mining,https://www.prnewswire.com/news-releases/terawulf-inc-raises-approximately-200-million-to-strengthen-capital-structure-in-advance-of-public-listing-301436715.html,none
MetaGods - Seed,Seed,2021-12-05T00:00:00.000Z,"Hashed/Mr. Beast/CinchBlock/Boxmining/Faculty
  Capital/Raptor Capital/CoinUnited Capital/Magnus Capital/Banter Capital/IceTea Labs/ABV",3000000,none,The world’s first Play-To-Earn Action RPG built on the blockchain. Trade and play with generative NFTs to vanquish dangerous monsters.,Jack Nolan,https://metagods.gg/,MetaGods,NFTs,Gaming,https://medium.com/@PlayMetaGods/metagods-receives-3-million-in-funding-from-multiple-investors-e4a79e026de8,none
Earnity - Series A,Series A,2021-12-06T00:00:00.000Z,BitNile/NGC Ventures/Thorney Investment,15000000,none,"Your place to earn, learn, collect, and gift your favorite tokens",Domenic Carosa,https://www.earnity.com/,Earnity,CeFi,Marketplace,https://www.businesswire.com/news/home/20211206005291/en/Ault-Global-Holdings%E2%80%99-Subsidiary-BitNile-Leads-a-15-Million-Series-A-Investment-in-Decentralized-Finance-Platform,none
White Whale - Seed,Seed,2021-12-07T00:00:00.000Z,"Terra/SkyVision Capital/Node Capital/GT Capital/0x Ventures/Qi Capital/Yunt Capital/Do Kwon/ DWeb3 Capital/ROK Capital/Double
  Peak/ExNetwork Capital/Petrock Capital/Mgnr/Richard Dai/Jeff Tang",2900000,35000000,Arbitrage Platform built on Terra,Sebastian,https://www.whitewhale.money/,White Whale,DeFi,Arbitrage/Yield/Tooling,https://medium.com/@whitewhaleterra/white-whale-announces-2-9-million-strategic-investment-round-600eb3c6568c,none
JellyFi - Seed,Seed,2021-12-08T00:00:00.000Z,Lemniscap/ParaFi Capital/Tioga Capital/White Star Capital/DeFiance Capital/True Ventures/Digital Currency Group/Genesis/Divergence Ventures/Angel DAO,4400000,none,A capital-efficient DeFi lending protocol that enables crypto loans without collateral,Alexis Masseron/Stephane Coquet/Charlotte Eli,https://jellyfi.io/,JellyFi,DeFi,Lending/Borrowing,https://jellyfi.io/blog/news/jellyfi-raises-4-4-million-seed-round-to-bring-uncollateralized-crypto-loans-to-defi-backed-by-lemniscap-parafi-capital-tioga-capital-and-others/,none
TRM Labs - Series B,Series B,2021-12-07T00:00:00.000Z,"Tiger Global Management/Visa/American
  Express Ventures/Citi/DRW/Jump Capital/Marshall Wace/Square/PayPal Ventures/B
  Capital/Bessemer Venture Partners/Blockchain Capital/Cap Table Coalition/Castle Island Ventures/Initialized
  Capital/Operator Partners/Emilie Choi/Frank Slootman/Michael Scarpelli",60000000,none,Preventing fraud and financial crime for digital currencies,Esteban Castaño,https://www.trmlabs.com/,TRM Labs,Infrastructure,Intelligence/Risk management/Compliance,https://www.trmlabs.com/post/announcing-our-series-b-fundraise-led-by-tiger-global,none
Mnemonic - Seed,Seed,2021-12-09T00:00:00.000Z,"Kenetic/Tribe
  Capital/Sound Ventures/Coinbase Ventures/IntoTheBlock/People.ai",4000000,none,"NFT intelligence platform provides discovery, analytics, and insight capabilities to innovators in the NFT space",Andrii Yasinetsky/Ben Metcalfe,https://www.mnemonichq.com/,Mnemonic,NFTs,Intelligence/APIs/DeFi - NFTs,https://www.nftgators.com/mnemonic-announces-the-launch-of-a-b2b-api-platform-focusing-on-nfts/,none
Holaplex - Seed,Seed,2021-12-07T00:00:00.000Z,"Social Capital/Collab+Currency/Blockchain Coinvestors/Solana Capital/CoinFund/Valor
  Capital Group",6000000,none,"Find, buy, and sell NFTs from incredible artists on Solana",Alex Kehaya,https://www.holaplex.com/,Holaplex,NFTs,Marketplace,https://www.crypto-reporter.com/press-releases/holaplex-seed-round-22127/,none
Zeta Markets - Seed,Seed,2021-12-09T00:00:00.000Z,"Jump Capital/Race Capital/Electric Capital/AirTree Ventures/Amber
  Group/Wintermute/SinoGlobal Capital/Genesis Block HK/QCP Capital/Alameda
  Research/Solana Capital/Mgnr/3K VC/Orthogonal
  Trading/LedgerPrime/SkyVision Capital/Digital Asset Capital Management",8500000,none,The premier under-collateralized DeFi futures & options platform built on solana .,none,https://zeta.markets/,Zeta Markets,DeFi,Derivatives,https://zetamarkets.medium.com/announcing-zetas-8-5m-funding-round-led-by-jump-capital-de239c3b076e,none
Voltz - Seed,Seed,2021-12-08T00:00:00.000Z,"Framework
  Ventures/Fabric Ventures/Coinbase Ventures/Amber
  Group/Wintermute/Robot Ventures/Mgnr/Entrepreneur First/Backed/Stani Kulechov/Kain
  Warwick/David Hoffman/Ryan Adams/Alan Howard/Block0",6000000,none,"A foundational defi infrastructure, unlocking waves of composable, community-led opportunities for builders, innovators and creators.",Simon Jones/Artur Begyan,https://www.voltz.xyz/,Voltz,DeFi,AMM/Infrastructure/Liquidity,https://medium.com/voltz/voltz-the-interest-rate-swap-amm-announces-its-6m-seed-round-led-by-framework-ventures-8f26cb09ed22,none
Index Coop - Seed,Seed,2021-12-08T00:00:00.000Z,Sequoia Capital/Blockchain Capital/White Star Capital,2250000,none,We build simple yet powerful index products to help you access crypto investment themes,Simon Judd,https://app.indexcoop.com/,Index Coop,DeFi,Index,https://decrypt.co/87785/index-coop-dao-hits-500-million-managed-assets,none
Hawksight - Seed,Seed,2021-12-09T00:00:00.000Z,"NGC Ventures/Solar Eco Fund/One Block Capital/Petrock Capital/SkyVision Capital/Everest Ventures/Double
  Peak/Entrepreneur First/Global
  Founders Capital/Follow[the]Seed/Cherubic Ventures/Norbert Bodziony/Ming Wu/Richard Ma",4200000,none,1-click automated investments & yield farming for everyone,Bradian Muliadi/Lorenzo Ampil,https://app.hawksight.co/#/,Hawksight,DeFi,Yield/Farming/Tooling,https://hawksight.medium.com/hawksight-raises-4-20m-backed-by-solana-ventures-terraform-labs-to-democratize-defi-c78de2ced681,none
Passbase - Series A,Series A,2021-12-08T00:00:00.000Z,Cowboy Ventures/Costanoa Ventures/Eniac Ventures/Lakestar/Seedcamp,10000000,none,Solve identity verification and scale your product,Dave McGibbon/Mathias Klenk/Felix Gerlach,https://passbase.com/,Passbase,Web3,Identity,https://techcrunch.com/2021/12/08/passbase-series-a/,none
BlackPool - Seed,Seed,2021-12-09T00:00:00.000Z,BITKRAFT Ventures/Delphi Digital/Play Ventures/Backed/Cherry Ventures/Fabric Ventures/DIGITAL,6000000,none,The first decentralised autonomous organisation (DAO) built solely for NFT gaming and trading,Julien Bouteloup,https://blackpool.finance/,BlackPool,NFTs,DAO/Metaverse/Arbitrage,https://blog.blackpool.finance/blackpool-raises-6m/,none
Paradigm - Series A,Series A,2021-12-09T00:00:00.000Z,"Jump Capital/Alameda
  Research/Genesis/QCP Capital/Nexo/Optiver/GSR/Akuna Capital/Babel Finance/Mgnr/Avon  Ventures/CMT Digital/Pattern Research/Dragonfly Capital/Digital Currency Group/Vectr Ventures/Mirana Ventures/Bybit",35000000,400000000,Institutional-grade liquidity unified across CeFi,Sharaf Nassar / Anand Gomes,https://www.paradigm.co/,Paradigm,CeFi,Messaging/Liquidity,https://www.paradigm.co/blog/paradigm-announces-35m-series-a-strategic-financing-co-led-by-jump-capital-and-alameda-ventures,none
Rainmaker Games - Seed,Seed,2021-12-09T00:00:00.000Z,"Alameda
  Research/Animoca Brands/Polygon Studios/CoinFund/Republic Realm/SkyVision Capital/Merit Circle/Genblock Capital/Draft Ventures/Liberty
  City Ventures/CMS Holdings",6500000,none,"The free global platform to play hundreds of P2E games - connecting gamers, games, and guilds worldwide",Will Deane,https://rmg.io/,Rainmaker Games,NFTs,Gaming/Marketplace,https://decrypt.co/87957/rainmaker-games-raises-6-5m-play-to-earn-crypto-gaming-alameda-animoca,none
Whydah - Seed,Seed,2021-12-08T00:00:00.000Z,"Hashkey Capital/Bitscale Capital/Eternity Ventures/YouBi Capital/Morningstar Ventures/Kardia Ventures/Formless Capital/Axia8
  Ventures/Polkastarter/Good Games Guild/Mask Network",25000000,none,Vietnamese blockchain-based game hub,Tri Pham,none,Whydah,NFTs,Gaming/Metaverse,https://www.techinasia.com/vietnamese-blockchain-gaming-hub-raises-us25m,none
SlingShot - Series A,Series A,2021-12-09T00:00:00.000Z,"Ribbit Capital/K5 Global/Shrug Capital/The Chainsmokers/Jason Derulo/Guillaume Pousaz/Austin Rief/Electric Capital/Framework
  Ventures",15000000,none,Next generation of decentralized trading,Clinton Bembry/Zak Cole,https://slingshot.finance/,SlingShot,DeFi,Trading,https://www.coindesk.com/business/2021/12/09/defi-trading-platform-slingshot-raises-15m-led-by-ribbit-capital/,none
Burrata - Seed,Seed,2021-12-09T00:00:00.000Z,Stripe/Variant/IDEO Colab Ventures/Slow Ventures/Baller Ventures/Stratos Technologies/Electric Feel Entertainment/CMS Holdings/Uncommon Capital/Canaan Partners/South Park Commons,7750000,none,An integration layer that helps bridge consumer identity and data from silo-ed Web2 systems into Web3,Ian Place/Osama Khan/Matthew Harrison,https://www.burrata.xyz/,Burrata,Web3,Compliance,https://seed-announcement.burrata.xyz/,none
Palm NFT Studio - Series B,Series B,2021-12-09T00:00:00.000Z,M12/Griffin Gaming Partners/RRE Ventures/3K VC/Sfermion/The LAO/Warner Bros./SK Inc.,27000000,none,"A new NFT ecosystem for Culture & Creativity, built efficiently with Ethereum ",Daniel Heyman/Joseph Lubin,https://palm.io/,Palm NFT Studio,NFTs,Art/Gaming/Entertainment,https://palm.io/studio/palm-nft-studio-announces-27m-series-b-funding/,none
izumi Finance - Series A,Series A,2021-12-09T00:00:00.000Z,Mirana Ventures/IOSG Ventures/Cadenza Ventures/Fenbushi Capital/Everest Ventures/Hashkey Capital/GSR/CyberX/Bixin Ventures/Kronos Research/DoraHacks/Gate Labs/MEXC Exchange,3500000,none,Multi-chain liquidity mining platform,Jimmy Yin,https://izumi.finance/,izumi Finance,DeFi,Liquidity/Staking,https://cointelegraph.com/press-releases/izumi-finance-closes-series-a-fundraising-with-35m-from-defi-and-crypto-investors,none
YGG SEA - Seed,Seed,2021-12-10T00:00:00.000Z,"Crypto.com Capital/Animoca Brands/Mindworks Capital/Poloniex/Jump Capital/Digital Currency Group/Hashed/Polygon/Arca/Evernew
  Capital/OKEX/Yolo Ventures/SevenX Ventures/LongHash Ventures/Hashkey Capital/Morningstar Ventures/Dialectic Capital/SweeperDAO/Petrock Capital/FBG Capital/Circle/Infinity Ventures Crypto/Yield Guild Games/Bukalapak/Gabby Dizon/Eden Holdings/Beryl Li/Mr. Block",15000000,none,"The first subDAO of Yield Guild Games, a decentralized autonomous organization for acquiring and managing NFTs used in the metaverse",Evan Spytma/Irene Umar/Dan Wang,https://yggsea.io/,YGG SEA,NFTs,DAO/Gaming/Metaverse,https://www.techinasia.com/bukalapak-animoca-brands-15m-financing-ygg-sea,none
Whalemap - Seed,Seed,2021-12-08T00:00:00.000Z,"Shima Capital/Momentum
  6/Anthony Pompliano/GHAF Capital Partners/NFT Technologies/RR² CAPITAL/ei ventures/Claystack/Solstarter/Justin Harkema/Primo Consulting/Thanh Le/Mohak Agarwal/Tri Duc Nguyen/Koroush Khaneghah",1600000,none,Actionable on-chain data for Bitcoin trading,Artem Lazarev/Andriy Bohutsky,https://whalemap.io/,Whalemap,CeFi,Analytics/Data,https://www-benzinga-com.cdn.ampproject.org/c/s/www.benzinga.com/amp/content/24504217,none
Assembly - Unknown,Unknown,2021-12-10T00:00:00.000Z,Huobi Capital/LD Capital/Hashkey Capital/Signum Capital/HyperChain Capital/UOB Venture/GSR/DU Capital,100000000,none,"The future of open worlds - built on a feeless, scalable multi-chain network, powered by ASMB",none,https://assembly.sc/,Assembly,Infrastructure,Tooling/Scalability/DApp,https://blog.assembly.sc/assembly-announces-100-million-ecosystem-funding/,none
BAYZ - Seed,Seed,2021-12-08T00:00:00.000Z,"Yield Guild Games/BITKRAFT Ventures/Delphi Digital/Valor
  Capital Group/Ascensive Assets/Fabric Ventures/Arca/Sebastien Borget/Aleksander Larsen/Jeff Zirlin/Nick Vale/Morningstar Ventures/ParaFi Capital/Volt
  Capital/Infinity Ventures Crypto/SkyVision Capital/Bitscale Capital/Arrington XRP Capital/RedCave Ventures/Firex Capital/Eden Holdings",4000000,none, A leading decentralized gaming organization bringing play-to-earn to people via blockchain-based economies,Joao Borges/Matt Rutledge,http://bayz.gg/,BAYZ,NFTs,Gaming/Guild/DAO,https://medium.com/@bayzgg/bayz-closes-4-million-seed-funding-round-led-by-yield-guild-games-b7e6a30f0591,none
ATTA - Seed,Seed,2021-12-10T00:00:00.000Z,"Zonff Partners/Shima Capital/Hash
  Global/Altonomy/Winkrypto/YouBi Capital/LD Capital/Oasis
  Capital/Weblock/Eric Zhang",2000000,none,"An entertainment metaverse for everyone create, play and earn through Game+Social",none,https://www.atta.zone/,ATTA,NFTs,Marketplace/Metaverse,https://medium.com/atta-official/atta-completes-two-million-angel-round-and-launches-dreammaker-metaverse-d35f066561c1,none
Digital Village - Pre-Seed,Pre-Seed,2021-12-10T00:00:00.000Z,Venrex/The Venture Reality Fund,2000000,none,"A recomposition of social media, gaming and e-commerce",Evelyn Mora,https://digitalvillage.io/,Digital Village,NFTs,Marketplace/Metaverse/Fashion,https://info.digitalvillage.io/press-release,none
Router - Extended Seed,Extended Seed,2021-12-10T00:00:00.000Z,"Coinbase Ventures/QCP Capital/Alameda
  Research/DeFi Capital/Wintermute/Woodstock Fund/Shima Capital/Mapleblock Capital/TeraSurge Capital/Bison Fund/Polygon/Sandeep Nailwal/Gokul Rajaram/Ajit Tripathi ",4100000,none,Building critical infrastructure that facilitates seamless cross-chain liquidity flows,Ramani 'Ram' Ramachandran/Chandan Choudhury,https://routerprotocol.com/,Router,DeFi,Liquidity,https://routerprotocol.medium.com/router-protocol-raises-4-1-million-from-leading-investors-10c215b8e25f,none
SOUNI - Seed,Seed,2021-12-12T00:00:00.000Z,"Shima Capital/YBB
  Foundation/Gamestarter/ExNetwork Capital/AU21 Capital/X21 Digital/ZBS Capital/LaunchZone /Kyros
  Ventures/VBC Ventures/Gains/Good Games Labs",5000000,none,A 3D MMORPG game in a decentralized world based on Blockchain ,Mathew Nguyen,https://souni.io/,SOUNI,NFTs,Gaming,https://souniio.medium.com/souni-raised-5-000-000-funding-753afdeb5576,none
Creaton - Seed,Seed,2021-12-08T00:00:00.000Z,ExNetwork Capital/NuCypher/ZBS Capital,175000,none,"A Web3 Membership Platform that helps in engaging fans, creating ownership of content - with NFT and earning real-time income.",Alexander Klus,https://creaton.io/#/,Creaton,NFTs,Membership/Social network,https://blockonomi.com/creaton-raises-tykhe-block-ventures/,none
OpenRelay - Seed,Seed,2021-12-09T00:00:00.000Z,Digital Finance Group,1500000,none,"Purveyor of fine order book infrastructures—scalable, developer-friendly, open source",Austin Roberts/Greg Lang/Beth Van Horn,https://openrelay.xyz/,OpenRelay,Web3,Infrastructure/Tooling,https://www.crowdfundinsider.com/2021/12/183967-digital-finance-group-bets-1-5m-on-rivet/,none
Defiance Games - Pre-Seed,Pre-Seed,2021-12-09T00:00:00.000Z,Antler,100000,none,"The best play-to-earn game sponsorships are combined with rewards, training and support tools to allow players to up their game, manage their assets and get paid in a user-friendly way",Audrey Raby/Patrick Poirier,https://defiance.games/,Defiance Games,DeFi,Gaming/Yield/Staking/Farming,none,none
Affyn - Unknown,Unknown,2021-12-09T00:00:00.000Z,Avalon Wealth Club/Herd Capital/Vespertine Capital,7000000,none,A metaverse project with integrated geolocation and AR mechanics that develops Free to play and Play to Earn mobile games,Lucaz Lee,https://www.affyn.com/,Affyn,NFTs,Gaming/AR/VR,https://finance.yahoo.com/news/singapore-startup-affyn-rising-star-001500885.html,none
AcadArena - Seed,Seed,2021-12-13T00:00:00.000Z,1kx/Hashed/PKO Investments/Kingsway Capital/Iterative/Infinity Ventures Crypto/Eden Holdings/Hustle Fund/Kevin Lin/Kun Gao/Holly Liu/Patrick Lee/Jeff Zirlin/Stephen Ellis/Michael Chow/Ray Chan/Yat Siu/Aldrich Tan/Jonathan Shipman,3500000,none,The leading organization for Campus Gaming and Esports Education in the Philippines and Southeast Asia,Justin Gorriceta-Banusing/Kevin Hoang/Ariane Lim,https://www.acadarena.com/,AcadArena,Web3,Metaverse/Funding/Studio/Gaming,https://www.acadarena.com/post/acadarena-closes-php175m-to-build-what-we-wish-we-had-as-students,none
NYDIG - Unknown,Unknown,2021-12-14T00:00:00.000Z,"WestCap/Bessemer Venture Partners/FinTech
  Collective/Affirm/Fiserv/MassMutual/New York Life Insurance/Morgan Stanley/FIS",1000000000,7000000000,A leading technology and financial services firm dedicated to Bitcoin,Robert Gutmann/Ross Stevens,https://nydig.com/,NYDIG,CeFi,Enterprise/Bitcoin,https://nydig.com/news/nydig-announces-1-billion-funding-round,none
Danvas - Seed,Seed,2021-12-14T00:00:00.000Z,VaynerFund/UTA Ventures/Greycroft/Rich Greenfield/Jason Nazar/Lerer Hippeau/Waverley Capital/BDMI,7000000,none,"Creating the world's first beautiful, museum-quality innovative digital art canvases",Jeanne Anderson/Hernan Lopez ,https://www.danvas.art/,Danvas,NFTs,Hardware,https://www.businesswire.com/news/home/20211214005100/en/Danvas-Announces-Launch-with-7-Million-Seed-Funding-Round,none
Anchorage Digital - Series D,Series D,2021-12-15T00:00:00.000Z,"Goldman Sachs/Alameda
  Research/Andreessen Horowitz/BlackRock/Blockchain Capital/DeltaBCFund/Elad Gil/GIC/GoldenTree Asset Management/Innovius Capital/Kraken/Lux Capital/Senator Investment Group/Standard Investments/Wellington Management/KKR/Apollo Global Management/PayPal Ventures",350000000,3000000000,"A digital asset platform offering custody, trading, and financing services, as well as staking and governance.",Diogo Monica/Nathan McCauley,https://www.anchorage.com/,Anchorage Digital,CeFi,Custody/Trading/Staking,https://www.prnewswire.com/news-releases/anchorage-digital-raises-350-million-in-series-d-funding-round-led-by-kkr-301444706.html,none
The Parallel - Seed,Seed,2021-12-13T00:00:00.000Z,"Kyber Network/OKEX/Moonrock Capital/GD10
  Ventures/Signum Capital/UG Ventures/RADA Community/AstroV Ventures/Coincu Ventures/RADA",4300000,none,An Infinite Metaverse where players create symbiotic dream worlds,Louis Nguyen,https://theparallel.io/,The Parallel,NFTs,Gaming,https://twitter.com/theparallel_io/status/1470325120480825348?t=IozYyVrjX6pEIAz1CfhNNA&s=19,none
Moonray - Seed,Seed,2021-12-14T00:00:00.000Z,"Stacks Accelerator/Animoca Brands/SBX Capital/New Layer Capital/GBV
  Capital/Cointelligence Fund/Fairum Ventures/Gossamer Capital/OIG Investment Group/ExNetwork Capital/Metavest Capital/LucidBlue Ventures/LD Capital/ DWeb3 Capital/Champion Hill Ventures/Sfermion/LongHash Ventures/DeltaHub
  Capital/DeSpread/CSP DAO/AlphaCrypto Capital",3500000,none,"Far-future, surreal sci-fi Action-RPG coming to Bitcoin via Stacks",Rodrigo Etcheto,https://moonray.game/,Moonray,NFTs,Gaming,https://decrypt.co/88230/first-bitcoin-metaverse-game-stacks-moonray-raises-3-5m,none
Ex Populus - Unknown,Unknown,2021-12-14T00:00:00.000Z,"Yolo Ventures/Sneaky Ventures/Perpetual Protocol/Libra Capital/Gerstenbrot Capital/Fisher8
  Capital/CitizenX Crypto Ventures/Blockwall/Akatsuki/8186 Capital",8500000,80000000,The best collectibles from the industry's most talented creators,Soban Saqib/Clement Wong/Mark Harris/Tobias Batton,https://expopulus.com/,Ex Populus,Web3,Launchpad/Gaming/AR/VR,https://www.coindesk.com/business/2021/12/14/ex-populus-raises-85m-amid-fears-web-3-gaming-is-growing-frothy/,none
Spatial - Series B,Series B,2021-12-14T00:00:00.000Z,Pine Venture Partners/Maven Capital Partners/Korea Investment Partners/KB Investment/Mirae Asset Global Investments/Inovia Capital/Lerer Hippeau/White Star Capital,25000000,none,"The Metaverse for culture, exhibitions, events, and experiences",Anand Agarwala/Jinha Lee,https://spatial.io/,Spatial,NFTs,Metaverse/AR/VR,https://www.businesswire.com/news/home/20211214005169/en/Spatial-Unveils-New-Market-Focus-To-Pioneer-A-Free-And-Open-Metaverse-With-25-Million-In-New-Funding,none
Ramp - Series A,Series A,2021-12-15T00:00:00.000Z,"Balderton Capital/NFX/Galaxy Digital/Seedcamp/Firstminute Capital/Taavet
  Hinrikus/Francesco Simoneschi",52700000,none,Offering an SDK/APIs suite that lets your users buy crypto straight from your app,Przemek Kowalczyk/Szymon Sypniewicz,https://ramp.network/,Ramp,Infrastructure,APIs,https://sifted.eu/articles/ramp-crypto-poland-53m/,none
Ledn - Series B,Series B,2021-12-15T00:00:00.000Z,"10T Fund/GoldenTree Asset Management/Raptor Group/FJ Labs/Alan Howard/Kingsway Capital/Global
  Founders Capital/Hashed/Ascendant Capital Partners/CMT Digital/Coinbase Ventures/Susquehanna International Group/John Pfeffer/ParaFi Capital/White Star Capital",70000000,540000000,A better home for your bitcoin. Credit and savings products for your digital assets.,Adam Reeds/Mauricio Di Bartolomeo,https://ledn.io,Ledn,DeFi,Savings,https://www.coindesk.com/business/2021/12/15/crypto-lender-ledn-raises-70m-in-series-b-round-readies-bitcoin-backed-mortgage-product/,none
Sound.xyz - Seed,Seed,2021-12-15T00:00:00.000Z,"Andreessen Horowitz/Variant/Kygo/Palm Tree Crew/Weekend Fund/Atelier Ventures/Scalar Capital/Packy McCormick/FlamingoDAO/The LAO/Trevor McFedries/Cooper
  Turley /Jacob Horne/Sina Habibian/Jing Wang/Breck Stodghill/Steve Klebanoff/John Palmer/Marc Weinstein/Holly Herndon/Mat Dryhurst/Jess Sloss/21 Savage/DJ Drama/Tunde Balogun/Stevo Dingle/Trevor Patterson/Conor Ambrose/Jesse Coren/Charlie Christie",5000000,none,Connecting artists and listeners to take ownership over the culture they create together,David Greenstein/Vignesh Hirudayakanth/ Matt Masurka,https://www.sound.xyz/,Sound.xyz,Web3,Tooling/Music,https://mirror.xyz/davidgreenstein.eth/jE31-g1kCirNczLj18fow78b_TNz6zXESfx4h1nkrN8,none
Cyball - Seed,Seed,2021-12-16T00:00:00.000Z,BITKRAFT Ventures/Impossible Finance/Animoca Brands/Ascensive Assets/Yield Guild Games/Merit Circle/GuildFi/Ancient8/Avocado Guild/Good Games Guild/​​Coin98 Ventures/Raydium/Lua Ventures/ROK Capital/PANONY/SkyVision Capital/MEXC Exchange/Gabby Dizon/Trung Nguyen/Darren Lau/Cryptopathic/Tascha Punyaneramitdee/Loi Luu/Kevin Lu/Or Perelman,1800000,none," A football-themed, NFT-based game with a Play-to-Earn model that allows you to test your might against players from around the world",Aaron Yee/Long Vuong/Tin Tran/Kevin Bui,https://cyball.com/,Cyball,NFTs,Gaming,https://blog.cyball.com/cyball-secures-1-8m-seed-round-plus-development-updates-and-more-149fb2b311b6,none
